İl,İl_Kodu,Kategori,Yıl,Toplam_Nüfus,Erkek,Kadın,Şehir,Köy,Çocuk_0_14,Genç_15_24,Yetişkin_25_64,Yaşlı_65+,Büyüme_Oranı_%,Nüfus_Yoğunluğu_km2
Ankara,06,Metropol,2010,4089912,2053135,2036777,2862938,1226974,940679,654385,2044956,449892,2.5,4435.9
Ankara,06,Metropol,2011,4222608,2119749,2102859,2998051,1224557,971199,675617,2111304,464488,2.5,6237.2
Ankara,06,Metropol,2012,4308812,2163023,2145789,3102344,1206468,991026,689409,2154406,473971,2.5,6137.9
Ankara,06,Metropol,2013,4424533,2221115,2203418,3229909,1194624,1017642,707925,2212266,486700,2.5,5852.6
Ankara,06,Metropol,2014,4529887,2274003,2255884,3352116,1177771,1041874,724781,2264943,498289,2.5,5386.3
Ankara,06,Metropol,2015,4627692,2323101,2304591,3470769,1156923,1064369,740430,2313846,509047,2.5,7561.6
Ankara,06,Metropol,2016,4782057,2400592,2381465,3634363,1147694,1099873,765129,2391028,526027,2.5,5237.7
Ankara,06,Metropol,2017,4887786,2453668,2434118,3763595,1124191,1124190,782045,2443893,537658,2.5,5406.8
Ankara,06,Metropol,2018,4977333,2498621,2478712,3882319,1095014,1144786,796373,2488666,547508,2.5,5404.3
Ankara,06,Metropol,2019,5102858,2561634,2541224,4031257,1071601,1173657,816457,2551429,561315,2.5,6238.2
Ankara,06,Metropol,2020,5253412,2637212,2616200,4202729,1050683,1208284,840545,2626706,577877,2.5,6658.3
Ankara,06,Metropol,2021,5359179,2690307,2668872,4340934,1018245,1232611,857468,2679589,589511,2.5,7846.5
Ankara,06,Metropol,2022,5538098,2780125,2757973,4541240,996858,1273762,886095,2769049,609192,2.5,8946.8
Ankara,06,Metropol,2023,5645183,2833881,2811302,4685501,959682,1298392,903229,2822591,620971,2.5,6350.0
Ankara,06,Metropol,2024,5813326,2918289,2895037,4883193,930133,1337064,930132,2906663,639467,2.5,6119.3
Antalya,07,Metropol,2005,1696986,851886,845100,1103040,593946,390306,271517,848493,186670,2.5,2992.9
Antalya,07,Metropol,2006,1733299,870116,863183,1143977,589322,398658,277327,866649,190665,2.5,2339.1
Antalya,07,Metropol,2007,1776682,891894,884788,1190376,586306,408636,284269,888341,195436,2.5,2457.4
Antalya,07,Metropol,2008,1817929,912600,905329,1236191,581738,418123,290868,908964,199974,2.5,2004.3
Antalya,07,Metropol,2009,1869392,938434,930958,1289880,579512,429960,299102,934696,205634,2.5,3251.1
Antalya,07,Metropol,2010,1904979,956299,948680,1333485,571494,438145,304796,952489,209549,2.5,2519.8
Antalya,07,Metropol,2011,1951155,979479,971676,1385320,565835,448765,312184,975577,214629,2.5,2111.6
Antalya,07,Metropol,2012,1998250,1003121,995129,1438740,559510,459597,319720,999125,219808,2.5,2222.7
Antalya,07,Metropol,2013,2062815,1035533,1027282,1505854,556961,474447,330050,1031407,226911,2.5,2780.1
Antalya,07,Metropol,2014,2105871,1057147,1048724,1558344,547527,484350,336939,1052935,231647,2.5,2284.0
Antalya,07,Metropol,2015,2163955,1086305,1077650,1622966,540989,497709,346232,1081977,238037,2.5,2658.4
Antalya,07,Metropol,2016,2210158,1109499,1100659,1679720,530438,508336,353625,1105079,243118,2.5,3837.1
Antalya,07,Metropol,2017,2280612,1144867,1135745,1756071,524541,524540,364897,1140306,250869,2.5,3660.7
Antalya,07,Metropol,2018,2318055,1163663,1154392,1808082,509973,533152,370888,1159027,254988,2.5,3812.6
Antalya,07,Metropol,2019,2384163,1196849,1187314,1883488,500675,548357,381466,1192081,262259,2.5,2831.5
Antalya,07,Metropol,2020,2445008,1227394,1217614,1956006,489002,562351,391201,1222504,268952,2.5,3029.7
Antalya,07,Metropol,2021,2510675,1260358,1250317,2033646,477029,577455,401708,1255337,276175,2.5,3868.5
Antalya,07,Metropol,2022,2571804,1291045,1280759,2108879,462925,591514,411488,1285902,282900,2.5,4043.7
Antalya,07,Metropol,2023,2626695,1318600,1308095,2180156,446539,604139,420271,1313347,288938,2.5,3389.3
Antalya,07,Metropol,2024,2694458,1352617,1341841,2263344,431114,619725,431113,1347229,296391,2.5,3100.6
Artvin,08,Küçük Şehir,2005,145860,73221,72639,94809,51051,33547,23337,72930,16046,0.8,252.8
Artvin,08,Küçük Şehir,2006,147124,73856,73268,97101,50023,33838,23539,73562,16185,0.8,168.9
Artvin,08,Küçük Şehir,2007,147991,74291,73700,99153,48838,34037,23678,73995,16281,0.8,233.1
Artvin,08,Küçük Şehir,2008,149642,75120,74522,101756,47886,34417,23942,74821,16462,0.8,164.8
Artvin,08,Küçük Şehir,2009,150211,75405,74806,103645,46566,34548,24033,75105,16525,0.8,185.4
Artvin,08,Küçük Şehir,2010,151514,76060,75454,106059,45455,34848,24242,75757,16667,0.8,198.6
Artvin,08,Küçük Şehir,2011,154032,77324,76708,109362,44670,35427,24645,77016,16944,0.8,165.1
Artvin,08,Küçük Şehir,2012,154263,77440,76823,111069,43194,35480,24682,77131,16970,0.8,255.4
Artvin,08,Küçük Şehir,2013,155937,78280,77657,113834,42103,35865,24949,77968,17155,0.8,282.5
Artvin,08,Küçük Şehir,2014,157398,79013,78385,116474,40924,36201,25183,78699,17315,0.8,276.1
Artvin,08,Küçük Şehir,2015,158764,79699,79065,119073,39691,36515,25402,79382,17465,0.8,204.9
Artvin,08,Küçük Şehir,2016,159563,80100,79463,121267,38296,36699,25530,79781,17553,0.8,173.4
Artvin,08,Küçük Şehir,2017,160554,80598,79956,123626,36928,36927,25688,80277,17662,0.8,271.7
Artvin,08,Küçük Şehir,2018,161937,81292,80645,126310,35627,37245,25909,80968,17815,0.8,175.3
Artvin,08,Küçük Şehir,2019,163541,82097,81444,129197,34344,37614,26166,81770,17991,0.8,204.4
Artvin,08,Küçük Şehir,2020,164520,82589,81931,131616,32904,37839,26323,82260,18098,0.8,298.0
Artvin,08,Küçük Şehir,2021,166046,83355,82691,134497,31549,38190,26567,83023,18266,0.8,212.9
Artvin,08,Küçük Şehir,2022,167280,83974,83306,137169,30111,38474,26764,83640,18402,0.8,192.5
Artvin,08,Küçük Şehir,2023,168033,84352,83681,139467,28566,38647,26885,84016,18485,0.8,233.7
Artvin,08,Küçük Şehir,2024,170660,85671,84989,143354,27306,39251,27305,85330,18774,0.8,252.8
Aydın,09,Orta Ölçek,2005,908461,456047,452414,590499,317962,208946,145353,454230,99932,1.2,1142.7
Aydın,09,Orta Ölçek,2006,915225,459442,455783,604048,311177,210501,146436,457612,100676,1.2,1300.0
Aydın,09,Orta Ölçek,2007,929313,466515,462798,622639,306674,213741,148690,464656,102226,1.2,1639.0
Aydın,09,Orta Ölçek,2008,943766,473770,469996,641760,302006,217066,151002,471883,103815,1.2,1367.8
Aydın,09,Orta Ölçek,2009,955049,479434,475615,658983,296066,219661,152807,477524,105057,1.2,1326.5
Aydın,09,Orta Ölçek,2010,968458,486165,482293,677920,290538,222745,154953,484229,106531,1.2,1144.7
Aydın,09,Orta Ölçek,2011,974602,489250,485352,691967,282635,224158,155936,487301,107207,1.2,1157.5
Aydın,09,Orta Ölçek,2012,984109,494022,490087,708558,275551,226345,157457,492054,108253,1.2,1642.9
Aydın,09,Orta Ölçek,2013,1004066,504041,500025,732968,271098,230935,160650,502033,110448,1.2,1185.4
Aydın,09,Orta Ölçek,2014,1006939,505483,501456,745134,261805,231595,161110,503469,110765,1.2,1379.4
Aydın,09,Orta Ölçek,2015,1023645,513869,509776,767733,255912,235438,163783,511822,112602,1.2,1145.0
Aydın,09,Orta Ölçek,2016,1036737,520441,516296,787920,248817,238449,165877,518368,114043,1.2,1148.1
Aydın,09,Orta Ölçek,2017,1046049,525116,520933,805457,240592,240591,167367,523024,115067,1.2,1681.8
Aydın,09,Orta Ölçek,2018,1060868,532555,528313,827477,233391,243999,169738,530434,116697,1.2,1530.8
Aydın,09,Orta Ölçek,2019,1072092,538190,533902,846952,225140,246581,171534,536046,117931,1.2,1353.7
Aydın,09,Orta Ölçek,2020,1089830,547094,542736,871864,217966,250660,174372,544915,119883,1.2,1755.0
Aydın,09,Orta Ölçek,2021,1099574,551986,547588,890654,208920,252902,175931,549787,120954,1.2,1271.2
Aydın,09,Orta Ölçek,2022,1107723,556076,551647,908332,199391,254776,177235,553861,121851,1.2,1985.2
Aydın,09,Orta Ölçek,2023,1120928,562705,558223,930370,190558,257813,179348,560464,123303,1.2,1221.1
Aydın,09,Orta Ölçek,2024,1135575,570058,565517,953883,181692,261182,181692,567787,124914,1.2,1488.3
Balıkesir,10,Orta Ölçek,2005,1012863,508457,504406,658360,354503,232958,162058,506431,111416,1.2,1179.1
Balıkesir,10,Orta Ölçek,2006,1025052,514576,510476,676534,348518,235761,164008,512526,112757,1.2,1500.8
Balıkesir,10,Orta Ölçek,2007,1037552,520851,516701,695159,342393,238636,166008,518776,114132,1.2,1177.7
Balıkesir,10,Orta Ölçek,2008,1051214,527709,523505,714825,336389,241779,168194,525607,115634,1.2,1489.0
Balıkesir,10,Orta Ölçek,2009,1066176,535220,530956,735661,330515,245220,170588,533088,117280,1.2,1122.3
Balıkesir,10,Orta Ölçek,2010,1072412,538350,534062,750688,321724,246654,171585,536206,117967,1.2,1749.4
Balıkesir,10,Orta Ölçek,2011,1087827,546089,541738,772357,315470,250200,174052,543913,119662,1.2,1551.8
Balıkesir,10,Orta Ölçek,2012,1104997,554708,550289,795597,309400,254149,176799,552498,121551,1.2,1278.9
Balıkesir,10,Orta Ölçek,2013,1115733,560097,555636,814485,301248,256618,178517,557866,122732,1.2,1415.9
Balıkesir,10,Orta Ölçek,2014,1124793,564646,560147,832346,292447,258702,179966,562396,123729,1.2,1328.0
Balıkesir,10,Orta Ölçek,2015,1139239,571897,567342,854429,284810,262024,182278,569619,125318,1.2,1995.2
Balıkesir,10,Orta Ölçek,2016,1151787,578197,573590,875358,276429,264911,184285,575893,126698,1.2,1604.2
Balıkesir,10,Orta Ölçek,2017,1164068,584362,579706,896332,267736,267735,186250,582034,128049,1.2,1785.4
Balıkesir,10,Orta Ölçek,2018,1177340,591024,586316,918325,259015,270788,188374,588670,129508,1.2,1239.3
Balıkesir,10,Orta Ölçek,2019,1194956,599867,595089,944015,250941,274839,191192,597478,131447,1.2,1381.5
Balıkesir,10,Orta Ölçek,2020,1212607,608728,603879,970085,242522,278899,194017,606303,133388,1.2,1737.3
Balıkesir,10,Orta Ölçek,2021,1222738,613814,608924,990417,232321,281229,195638,611369,134502,1.2,1798.1
Balıkesir,10,Orta Ölçek,2022,1237304,621126,616178,1014589,222715,284579,197968,618652,136105,1.2,1704.3
Balıkesir,10,Orta Ölçek,2023,1258482,631757,626725,1044540,213942,289450,201357,629241,138434,1.2,1492.9
Balıkesir,10,Orta Ölçek,2024,1267638,636354,631284,1064815,202823,291556,202822,633819,139441,1.2,1390.0
Bilecik,11,Küçük Şehir,2005,196720,98753,97967,127868,68852,45245,31475,98360,21640,0.8,259.2
Bilecik,11,Küçük Şehir,2006,200154,100477,99677,132101,68053,46035,32024,100077,22018,0.8,344.5
Bilecik,11,Küçük Şehir,2007,200110,100455,99655,134073,66037,46025,32017,100055,22013,0.8,212.7
Bilecik,11,Küçük Şehir,2008,202463,101636,100827,137674,64789,46566,32394,101231,22272,0.8,216.8
Bilecik,11,Küçük Şehir,2009,204701,102759,101942,141243,63458,47081,32752,102350,22518,0.8,321.4
Bilecik,11,Küçük Şehir,2010,206603,103714,102889,144622,61981,47518,33056,103301,22728,0.8,277.7
Bilecik,11,Küçük Şehir,2011,207056,103942,103114,147009,60047,47622,33128,103528,22778,0.8,245.3
Bilecik,11,Küçük Şehir,2012,209035,104935,104100,150505,58530,48078,33445,104517,22995,0.8,299.5
Bilecik,11,Küçük Şehir,2013,210029,105434,104595,153321,56708,48306,33604,105014,23105,0.8,344.3
Bilecik,11,Küçük Şehir,2014,212453,106651,105802,157215,55238,48864,33992,106226,23371,0.8,242.8
Bilecik,11,Küçük Şehir,2015,213135,106993,106142,159851,53284,49021,34101,106567,23446,0.8,352.9
Bilecik,11,Küçük Şehir,2016,215082,107971,107111,163462,51620,49468,34413,107541,23660,0.8,233.0
Bilecik,11,Küçük Şehir,2017,216508,108687,107821,166711,49797,49796,34641,108254,23817,0.8,234.1
Bilecik,11,Küçük Şehir,2018,219096,109986,109110,170894,48202,50392,35055,109548,24101,0.8,233.6
Bilecik,11,Küçük Şehir,2019,222038,111463,110575,175410,46628,51068,35526,111019,24425,0.8,387.5
Bilecik,11,Küçük Şehir,2020,223684,112289,111395,178947,44737,51447,35789,111842,24606,0.8,399.4
Bilecik,11,Küçük Şehir,2021,224545,112721,111824,181881,42664,51645,35927,112272,24701,0.8,342.8
Bilecik,11,Küçük Şehir,2022,227481,114195,113286,186534,40947,52320,36396,113740,25025,0.8,324.5
Bilecik,11,Küçük Şehir,2023,227407,114158,113249,188747,38660,52303,36385,113703,25016,0.8,351.5
Bilecik,11,Küçük Şehir,2024,230182,115551,114631,193352,36830,52941,36829,115091,25321,0.8,290.6
Bingöl,12,Küçük Şehir,2005,241274,121119,120155,156828,84446,55493,38603,120637,26541,0.8,303.5
Bingöl,12,Küçük Şehir,2006,243499,122236,121263,160709,82790,56004,38959,121749,26787,0.8,343.9
Bingöl,12,Küçük Şehir,2007,243894,122434,121460,163408,80486,56095,39023,121947,26829,0.8,303.7
Bingöl,12,Küçük Şehir,2008,245536,123259,122277,166964,78572,56473,39285,122768,27010,0.8,321.8
Bingöl,12,Küçük Şehir,2009,249671,125334,124337,172272,77399,57424,39947,124835,27465,0.8,266.5
Bingöl,12,Küçük Şehir,2010,250086,125543,124543,175060,75026,57519,40013,125043,27511,0.8,277.9
Bingöl,12,Küçük Şehir,2011,251606,126306,125300,178640,72966,57869,40256,125803,27678,0.8,326.8
Bingöl,12,Küçük Şehir,2012,253287,127150,126137,182366,70921,58256,40525,126643,27863,0.8,351.8
Bingöl,12,Küçük Şehir,2013,256629,128827,127802,187339,69290,59024,41060,128314,28231,0.8,367.7
Bingöl,12,Küçük Şehir,2014,258336,129684,128652,191168,67168,59417,41333,129168,28418,0.8,341.7
Bingöl,12,Küçük Şehir,2015,261495,131270,130225,196121,65374,60143,41839,130747,28766,0.8,371.4
Bingöl,12,Küçük Şehir,2016,263963,132509,131454,200611,63352,60711,42234,131981,29037,0.8,423.7
Bingöl,12,Küçük Şehir,2017,265593,133327,132266,204506,61087,61086,42494,132796,29217,0.8,293.1
Bingöl,12,Küçük Şehir,2018,267089,134078,133011,208329,58760,61430,42734,133544,29381,0.8,402.8
Bingöl,12,Küçük Şehir,2019,269421,135249,134172,212842,56579,61966,43107,134710,29638,0.8,338.9
Bingöl,12,Küçük Şehir,2020,270020,135550,134470,216016,54004,62104,43203,135010,29703,0.8,312.5
Bingöl,12,Küçük Şehir,2021,274151,137623,136528,222062,52089,63054,43864,137075,30158,0.8,335.6
Bingöl,12,Küçük Şehir,2022,275447,138274,137173,225866,49581,63352,44071,137723,30301,0.8,302.4
Bingöl,12,Küçük Şehir,2023,278518,139816,138702,231169,47349,64059,44562,139259,30638,0.8,426.5
Bingöl,12,Küçük Şehir,2024,281040,141082,139958,236073,44967,64639,44966,140520,30915,0.8,310.2
Bitlis,13,Küçük Şehir,2005,301609,151407,150202,196045,105564,69370,48257,150804,33178,0.8,460.5
Bitlis,13,Küçük Şehir,2006,303264,152238,151026,200154,103110,69750,48522,151632,33360,0.8,344.6
Bitlis,13,Küçük Şehir,2007,305386,153303,152083,204608,100778,70238,48861,152693,33594,0.8,385.6
Bitlis,13,Küçük Şehir,2008,306724,153975,152749,208572,98152,70546,49075,153362,33741,0.8,341.9
Bitlis,13,Küçük Şehir,2009,310055,155647,154408,213937,96118,71312,49608,155027,34108,0.8,452.6
